labID,age,error,depth
Wk-36775,29645,181,697.9
Wk-36774,29601,187,683.4
Wk-36773,28673,162,667.9
Wk-36772,27885,149,662.7
Wk-36771,27693,146,657.5
Wk-36770,27560,151,650.3
Wk-32796,27685,294,645.1
Wk-32795,27457,275,640.9
Wk-32794,27719,283,637.8
Wk-32792,27660,281,632.6
Wk-32793,27140,279,629.5
Wk-32791,27180,273,624.4
Wk-32790,26978,258,619.2
Wk-32789,26958,260,614
Wk-36769,26812,132,613
Wk-32788,26070,232,608.8
Wk-32394,25809,101,604.7
Wk-32393,24359,180,598.4
Wk-32787,25318,212,597.4
Wk-32392,25662,213,593.2
Wk-32391,25526,209,588
Wk-32390,25777,218,582.8
Wk-32389,25363,230,577.6
Wk-32388,25256,217,572.4
Wk-32387,25154,198,567.2
Wk-32386,24881,192,562
Wk-32385,25258,201,556.8
Wk-32384,25246,206,551.6
Wk-32383,25059,220,546.4
Wk-32786,24855,200,541.1
Wk-32785,24868,202,535.9
Wk-32784,24771,198,530.7
Wk-36768,24603,109,530.7
Wk-32783,24223,199,525.5
Wk-32782,24196,195,520.3
Wk-32781,23638,175,515.1
Wk-32780,23820,179,509.9
Wk-32767,23783,95,508.5
Wk-32766,22506,83,503.5
Wk-32765,17276,50,498.5
Wk-32764,23218,89,494.5
Wk-32763,23368,90,489.5
Wk-32762,22520,87,465.5
Wk-36761,18876,58,405.5
